Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\Animation.csproj,,,System.Drawing.Common 4.7.2,,,,,"System.Drawing.Common, 4.7.2  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.10"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\Animation.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\Animation.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,80,3,M:System.Drawing.Drawing2D.Matrix.TransformPoints(System.Drawing.PointF[]),,,,,worldToPage.TransformPoints(PageLocation);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,78,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"worldToPage.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,78,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"worldToPage.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,78,3,F:System.Drawing.Drawing2D.MatrixOrder.Append,,,,,"worldToPage.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,78,3,"M:System.Drawing.Drawing2D.Matrix.Translate(System.Single,System.Single,System.Drawing.Drawing2D.MatrixOrder)",,,,,"worldToPage.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,77,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"worldToPage.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,77,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"worldToPage.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,77,3,F:System.Drawing.Drawing2D.MatrixOrder.Append,,,,,"worldToPage.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,77,3,"M:System.Drawing.Drawing2D.Matrix.Scale(System.Single,System.Single,System.Drawing.Drawing2D.MatrixOrder)",,,,,"worldToPage.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,76,3,T:System.Drawing.Drawing2D.Matrix,,,,,"Matrix worldToPage = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,76,3,"M:System.Drawing.Drawing2D.Matrix.#ctor(System.Single,System.Single,System.Single,System.Single,System.Single,System.Single)",,,,,"Matrix worldToPage = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,70,3,M:System.Drawing.Drawing2D.Matrix.TransformPoints(System.Drawing.PointF[]),,,,,pageToWorld.TransformPoints(PageLocation);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,68,3,M:System.Drawing.Drawing2D.Matrix.Invert,,,,,pageToWorld.Invert();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,66,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"pageToWorld.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,66,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"pageToWorld.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,66,3,F:System.Drawing.Drawing2D.MatrixOrder.Append,,,,,"pageToWorld.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,66,3,"M:System.Drawing.Drawing2D.Matrix.Translate(System.Single,System.Single,System.Drawing.Drawing2D.MatrixOrder)",,,,,"pageToWorld.Translate(TranslateX, TranslateY, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,65,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"pageToWorld.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,65,3,T:System.Drawing.Drawing2D.MatrixOrder,,,,,"pageToWorld.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,65,3,F:System.Drawing.Drawing2D.MatrixOrder.Append,,,,,"pageToWorld.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,65,3,"M:System.Drawing.Drawing2D.Matrix.Scale(System.Single,System.Single,System.Drawing.Drawing2D.MatrixOrder)",,,,,"pageToWorld.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,64,3,T:System.Drawing.Drawing2D.Matrix,,,,,"Matrix pageToWorld = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,64,3,"M:System.Drawing.Drawing2D.Matrix.#ctor(System.Single,System.Single,System.Single,System.Single,System.Single,System.Single)",,,,,"Matrix pageToWorld = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,23,2,T:System.Windows.Forms.Panel,,,,,"public static void ZoomToFit(Panel panel, ref float ScaleFactor,  		                             ref float TranslateX, ref float TranslateY,  		                             float xMin, float yMin, float xMax, float yMax)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,49,4,P:System.Windows.Forms.Control.Width,,,,,TranslateX = (float)((panel.Width - ScaleFactor*totalWidth)/2 - LeftLimit*ScaleFactor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,48,4,P:System.Windows.Forms.Control.Height,,,,,TranslateY = (float)(panel.Height/20.0 + ScaleFactor*UpperLimit);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,47,4,P:System.Windows.Forms.Control.Height,,,,,ScaleFactor = (float)(panel.Height/((11.0/10.0)*totalHeight));
